"testNumber","testName","slug","fullJson","questionGroups","questions","answers","correctAnswers","mediaFiles","audioFiles","imageFiles","mediaOk","mediaFailed","questionsWithAudioTranscript","questionsWithGroupExplanation"
"1","ETS 2024 TEST1","ets-2024-test1","ets-2024-test1/ets-2024-test1-full.json","103","200","775","200","92","54","38","92","0","100","200"
"2","ETS2024 TEST 2","ets2024-test-2","ets2024-test-2/ets2024-test-2-full.json","103","200","775","200","92","54","38","92","0","100","200"
"3","ETS2024 TEST 3","ets2024-test-3","ets2024-test-3/ets2024-test-3-full.json","103","200","775","200","92","54","38","92","0","100","200"
"4","ETS2024 TEST 4","ets2024-test-4","ets2024-test-4/ets2024-test-4-full.json","103","200","775","200","92","54","38","92","0","100","200"
"5","ETS 2024 TEST 5","ets-2024-test-5","ets-2024-test-5/ets-2024-test-5-full.json","103","200","775","200","92","54","38","92","0","100","200"
"6","ETS 2024 TEST 6","ets-2024-test-6","ets-2024-test-6/ets-2024-test-6-full.json","103","200","775","200","92","54","38","92","0","100","200"
"7","ETS 2024 TEST 7","ets-2024-test-7","ets-2024-test-7/ets-2024-test-7-full.json","103","200","775","200","92","54","38","92","0","100","200"
"8","ETS 2024 TEST 8","ets-2024-test-8","ets-2024-test-8/ets-2024-test-8-full.json","103","200","775","200","87","54","33","87","0","100","200"
"9","ETS 2024 TEST 9","ets-2024-test-9","ets-2024-test-9/ets-2024-test-9-full.json","103","200","775","200","89","54","35","89","0","100","200"
"10","ETS2024 TEST 10","ets2024-test-10","ets2024-test-10/ets2024-test-10-full.json","103","200","775","200","92","54","38","92","0","100","200"
